,cv10,cv05,cv01
0.01,2.252824372143217,2.4677178772660056,2.9425182642328065
0.011,2.2207701827686055,2.42732130753161,2.8977636819180224
0.012,2.1989259911035575,2.4178765870339687,2.8705227922240013
0.013000000000000001,2.18702173258857,2.367187502995874,2.7855517244505186
0.014,2.156854744544821,2.3341495209999006,2.787620165698007
0.015,2.1121139636446196,2.346282118098965,2.7392341979024963
0.016,2.120402926614002,2.355018522368858,2.743517211249119
0.017,2.087231778061449,2.307108991053376,2.690626863791347
0.018000000000000002,2.1115995299393706,2.3052671168180683,2.704052812161417
0.019000000000000003,2.1272496372469014,2.2893541097402976,2.7072634711829826
0.02,2.111006048609637,2.273179386025315,2.6281796499270182
0.020999999999999998,2.0591539280620803,2.280879745635008,2.661476089437582
0.022,2.0577580885052567,2.2533443008013077,2.6634005775802763
0.023,2.045901735150135,2.2514225737444864,2.6600764040448874
0.024,2.0472212447009173,2.2385873583071767,2.588900390876984
0.025,2.036235827150005,2.2443701334952983,2.6412900119048732
0.026000000000000002,2.0411552341800925,2.242293085403372,2.6660932433828544
0.027000000000000003,2.026779946991204,2.224615797481356,2.6747099253713866
0.028000000000000004,2.0282304525071013,2.218449806616946,2.6121121013328352
0.028999999999999998,1.9833482157012978,2.202273634569031,2.607100699967882
0.03,1.965529849338672,2.1998019751575573,2.6250810625894063
0.031,1.895867781361431,2.1240656025140177,2.5335880823308443
0.032,1.9447516601285066,2.1532304313102184,2.551813771708334
0.033,1.9280019818701628,2.132284916287763,2.5153117672276584
0.034,1.9427657736309951,2.126353699763664,2.5265758845075235
0.035,1.944001414538181,2.1295694999177464,2.556818095293323
0.036000000000000004,1.9240752330047033,2.1183471644531675,2.510984138773713
0.037,1.9034384662982575,2.091780078675564,2.5052133754092574
0.038,1.88836658160946,2.1041265326326237,2.4725649849414513
0.039,1.8900431273245442,2.0805280651133753,2.4809533957565013
0.04,1.886171838799847,2.1055877003118035,2.460686338891567
0.041,1.882265134304866,2.0797386158404945,2.4101175412329763
0.042,1.8727899428084247,2.0908263573373453,2.4222301366573387
0.043000000000000003,1.8674887206809674,2.0729649578054867,2.40620442376048
0.044000000000000004,1.866148912642728,2.07516332319364,2.43027537643534
0.045000000000000005,1.8329915815374926,2.061469859795171,2.42032981059048
0.046000000000000006,1.8405041911455735,2.068663342481433,2.4702947147691336
0.047,1.8363424023416035,2.063134337682449,2.4266651142764344
0.048,1.834519007501139,2.062245458692713,2.414465040384275
0.049,1.8148930544816548,2.039330263103311,2.3837144357735762
0.05,1.830920976384929,2.042934835564348,2.420422838360994
0.051000000000000004,1.8362699113362315,2.0313896967205594,2.4073028936501917
0.052000000000000005,1.8403140994693337,2.0346927797910928,2.4372820773411727
0.053000000000000005,1.8203229399841738,2.034875541024204,2.427820106068188
0.054,1.8058549019542698,2.0304570220864897,2.45956596488127
0.055,1.8003316202186834,2.013824644775259,2.445417135198461
0.056,1.806406904179993,1.9867917730438842,2.465480432116597
0.057,1.797780198525117,1.9951557277538317,2.4504118126936274
0.058,1.792381442187376,2.007147993004706,2.4342082487635217
0.059000000000000004,1.7785049564908573,1.988012710208559,2.4362515025022824
0.060000000000000005,1.7782870209967232,1.9870643130155177,2.4357770060681885
0.061000000000000006,1.6693727002776861,1.879511322938029,2.318185771526623
0.062000000000000006,1.771108770095555,1.9672519971191436,2.442514630468523
0.063,1.7823613943914087,2.012790082915944,2.467873372222342
0.064,1.7851786129641152,1.9972075721085067,2.52669076532613
0.065,1.7784015635818873,2.002713648294263,2.5073120368582553
0.066,1.785149866031217,2.007964972543865,2.4783194907519364
0.067,1.7686347192185639,2.0037121350107276,2.488761523075689
0.068,1.7618596198914083,2.016577238523902,2.4585420720428255
0.069,1.7697256884710684,1.9766661810435542,2.474371693105351
0.06999999999999999,1.760144715975364,1.9755983739490899,2.434319909366952
0.071,1.7523016051287617,1.9667112306375754,2.4300955152691537
0.072,1.7488842024275106,1.9420402811473743,2.432404553038265
0.073,1.7364061999925158,1.9742882647373783,2.42681075410272
0.074,1.7464676174219556,1.9622238324688592,2.4017489266094483
0.075,1.7496243657509556,1.9657824257613885,2.393294887186586
0.076,1.7396148653019678,1.9620802341470591,2.3909481941009454
0.077,1.73828085851693,1.9887751129010962,2.4263208289548577
0.078,1.7279116747820045,1.991005531797536,2.4117894530949795
0.079,1.7293081060572724,1.9799939143962477,2.4203509793697267
0.08,1.7345754869074446,1.9639469998915007,2.3754857767587216
0.081,1.699790761244595,1.945603575335532,2.3951213480177316
0.082,1.739095082032622,1.9792847136475937,2.4049007920765484
0.08299999999999999,1.7364198663050778,1.9717046075997098,2.4259355629221377
0.08399999999999999,1.7201310605765556,1.9474984641896647,2.3825372568833814
0.08499999999999999,1.718114896339183,1.9578299839968463,2.3920094414832858
0.086,1.7119117403985775,1.9606205252186548,2.3793876531298235
0.087,1.700534388319786,1.9624404229559345,2.379188060052907
0.088,1.7126695369280633,1.973918218832019,2.3791155543337066
0.089,1.7176605154910811,1.962890713477262,2.360851108841373
0.09,1.6925297412565412,1.963748714897449,2.345323458595264
0.091,1.6876560993718714,1.9616438260550393,2.3376402651759767
0.092,1.703730544732541,1.963983209903587,2.3333313561548517
0.093,1.698220210388534,1.9709776503755547,2.3245735866427166
0.094,1.6962850213931655,1.9711691593693983,2.3218954969532444
0.095,1.6943750341029464,1.96860785577209,2.3245965502644004
0.096,1.6889107301764759,1.9544140709864983,2.32111770494429
0.097,1.6889139968300004,1.961669632301535,2.300254478235619
0.09799999999999999,1.6893367902895136,1.9609750841827966,2.314604133009238
